,term,causal,coef,antonyms_opposite_coef,antonyms,antonym_source
1684,remind,0,-0.588,{'forget': 0.772},"{'welcome': 0.018, 'issue': 0.831, 'lose': 0.122}",synonym_antonym
1685,jumps,0,-0.274,"{'stop': 1.569, 'stay': 0.14, 'ride': 1.83, 'go': 0.185, 'fall': 0.141, 'clear': 0.375, 'familiar': 0.298}","{'stop': 0.613, 'stay': 0.399, 'include': 0.228, 'rush': 1.001, 'ride': 0.982, 'advance': 0.454, 'fall': 0.319, 'follow': 0.39, 'show': 0.286, 'clear': 0.019}",synonym_antonym
1686,video,0,-0.591,{'broken': 0.362},{'moving': 0.39},synonym_antonym
1687,general,0,-0.117,{'close': 0.595},"{'accurate': 0.19, 'close': 1.103}",synonym_antonym
1688,teenagers,0,0.322,"{'old': 0.154, 'mature': 0.071, 'woman': 0.561}","{'adult': -0.674, 'old': -0.326, 'woman': -0.213}",antonym
1689,female,0,-1.742,{'male': 0.109},{'show': 0.286},synonym_antonym
1690,rarely,0,-0.599,{'often': 0.624},{'often': 1.112},antonym
1691,wacky,0,-0.599,"{'smart': 0.316, 'woman': 0.561, 'cool': 0.793, 'clean': 1.006}",{'wise': 0.353},antonym
1692,cook,0,-0.186,{},{'uglify': 0.0},oov_antonym
1693,marketing,0,-0.491,{'take': 0.54},{'take': 0.241},synonym_antonym
1694,wasting,1,-0.289,"{'ability': 0.079, 'good': 0.861}","{'ability': 0.153, 'good': 1.216}",synonym_antonym
1695,mouth,0,-0.518,{'take': 0.54},"{'past': 0.244, 'future': 0.154, 'take': 0.241}",antonym
1696,content,0,-0.397,{},{'respect': 0.0},oov_antonym
1697,secret,0,0.345,"{'light': 0.22, 'day': 0.404}",{'unconcealed': 0.0},oov_antonym
1698,words,0,-0.291,"{'open': 0.645, 'begin': 0.305, 'continue': 0.237}",{'begin': 0.751},synonym_antonym
1699,even,0,-0.472,"{'heavy': 0.593, 'wild': 0.362, 'intense': 1.272, 'night': 0.829}","{'intense': 1.087, 'night': 0.737}",synonym_antonym
1700,following,0,0.339,{},{'leading': 0.0},oov_antonym
1701,explained,0,0.693,"{'exciting': 0.996, 'stay': 0.14, 'twist': 1.32, 'young': 0.431, 'charge': 0.822, 'open': 0.645}","{'weave': -0.57, 'young': -0.595, 'immature': -0.475, 'charge': -0.497, 'open': -0.062}",synonym_antonym
1702,liking,0,-0.453,"{'plain': 0.115, 'familiar': 0.298, 'happiness': 0.684, 'fear': 0.657, 'hope': 0.878, 'sadness': 0.219, 'pain': 0.204}",{'dislike': 0.235},antonym
1703,considered,0,-0.049,{},{'ill-advised': 0.0},oov_antonym
1704,presented,0,0.509,"{'open': 0.645, 'recall': 0.338}",{'open': -0.062},antonym
1705,bother,0,-1.524,{'stop': 1.569},{'stop': 0.613},synonym_antonym
1706,main,0,-0.393,"{'child': 0.524, 'last': 1.003, 'secondary': 0.16, 'forget': 0.772}","{'child': 0.279, 'mother': 0.304, 'last': 0.244, 'secondary': 0.16, 'minor': 0.249, 'follow': 0.39}",synonym_antonym
1707,ruined,1,-1.254,{},{'saved': 0.0},oov_antonym
1708,sadly,1,-0.781,{'happily': 0.031},{'happily': 0.219},antonym
1709,predictable,0,-0.901,{},{'unpredictable': 0.0},oov_antonym
1710,scene,0,-0.318,{'day': 0.404},{'day': 0.464},antonym
1711,fantasy,1,-0.323,{'plain': 0.115},"{'dislike': 0.235, 'fall': 0.319, 'creative': 0.068}",synonym_antonym
1712,irritating,1,-0.623,"{'lose': 0.656, 'good': 0.861}","{'lose': 0.122, 'good': 1.216}",synonym_antonym
1713,scenario,0,-0.623,{},{'trade edition': 0.0},oov_antonym
1714,biggest,0,-0.624,"{'little': 0.584, 'small': 0.184}","{'healthy': 1.074, 'well': 0.646, 'honest': 0.742, 'large': 0.285, 'close': 1.103, 'light': 0.337, 'success': 0.008, 'ordinary': 0.806, 'easy': 0.709}",synonym_antonym
1715,week,0,-0.616,"{'day': 0.404, 'night': 0.829}","{'day': 0.464, 'night': 0.737, 'like': 0.137}",synonym_antonym
1716,fantasies,1,0.075,{'plain': 0.115},{'plain': -0.167},antonym
1717,imagine,0,-0.305,{'enjoy': 0.17},{'enjoy': 0.391},antonym
1718,rushed,0,-0.89,{},"{'organized': 0.653, 'back': 0.204}",synonym_antonym
1719,missed,0,-0.754,{'clear': 0.375},{'clear': 0.019},antonym
1720,allowing,0,-0.631,"{'appreciate': 1.008, 'stay': 0.14}","{'appreciate': 0.192, 'gain': 0.108, 'stay': 0.399}",synonym_antonym
1721,current,0,0.627,{'old': 0.154},{'old': -0.326},antonym
1722,bland,1,-0.357,{'tasty': 0.162},{'new': 0.361},synonym_antonym
1723,having,0,0.003,{'lose': 0.656},"{'lack': -0.328, 'leave': -0.562, 'far': -0.333, 'stand': -0.849}",synonym_antonym
1724,class,0,-0.127,{'child': 0.524},{'child': 0.279},synonym_antonym
1725,hated,1,-0.552,{'loved': 2.366},"{'loved': 2.508, 'wanted': 0.057}",antonym
1726,coffee,0,-0.208,{'loud': 0.91},{'loud': 0.815},antonym
1727,erotica,0,-0.417,"{'clean': 1.006, 'last': 1.003}","{'clean': 0.426, 'last': 0.244}",synonym_antonym
1728,fake,1,-0.64,{'correct': 0.653},{'correct': 0.653},antonym
1729,round,0,-0.641,{'top': 0.957},{'top': 0.086},synonym_antonym
1730,understand,0,-0.006,"{'stay': 0.14, 'charge': 0.822, 'open': 0.645, 'question': 0.241, 'end': 0.688, 'lose': 0.656, 'miss': 0.604, 'broken': 0.362, 'pull': 0.203}","{'stay': 0.399, 'question': 0.241, 'location': 0.261, 'fire': 0.042, 'end': 0.821, 'lose': 0.122, 'sell': 0.128, 'miss': 0.409}",synonym_antonym
1731,excessive,0,-0.647,{},{'moderate': 0.0},oov_antonym
1732,typos,0,-1.164,{},{'false': 0.0},oov_antonym
1733,food,0,-0.068,"{'cool': 0.793, 'right': 0.538, 'lose': 0.656, 'solid': 1.239}","{'cool': 1.151, 'right': 0.219, 'lose': 0.122, 'solid': 1.16, 'fire': 0.042}",synonym_antonym
1734,less,0,-0.054,{},{'more': 0.0},oov_antonym
1735,random,0,-0.649,{'careful': 0.154},{'nonrandom': 0.0},oov_antonym
1736,benefit,0,-0.52,{'go': 0.185},{'ride': 0.982},synonym_antonym
1737,spanking,0,-0.65,{'ordinary': 0.806},{'ordinary': 0.806},antonym
1738,porn,0,-0.498,"{'clean': 1.006, 'last': 1.003}","{'clean': 0.426, 'last': 0.244}",synonym_antonym
1739,write,0,0.551,"{'ride': 1.83, 'stay': 0.14, 'go': 0.185, 'cool': 0.793, 'continue': 0.237, 'appreciate': 1.008, 'background': 0.392}","{'connect': -0.406, 'dull': -1.066, 'go': -0.151, 'juvenile': -1.104, 'continue': -0.105, 'background': -0.625, 'push': -0.752, 'pack': -0.013}",synonym_antonym
1740,narrative,0,0.341,{},{'unhappy': -0.848},antonym
1741,ends,0,-0.203,{'front': 0.219},{'front': 0.219},antonym
1742,quit,0,-0.156,{'continue': 0.237},"{'begin': 0.751, 'survive': 0.418, 'keep': 0.39, 'start': 0.329, 'loose': 0.352, 'advance': 0.454, 'color': 0.013}",synonym_antonym
1743,appears,0,-0.553,{'continue': 0.237},"{'back': 0.204, 'head': 0.744, 'set': 0.511, 'fall': 0.319, 'change': 0.311, 'agree': 0.305, 'lose': 0.122}",synonym_antonym
1744,called,0,-0.283,{'sure': 0.139},"{'sure': 0.253, 'certain': 1.376, 'convinced': 0.41}",synonym_antonym
1745,care,0,-1.155,{'forget': 0.772},{'properness': 0.0},oov_antonym
1746,simply,0,-0.414,{'wrong': 1.271},{'wrong': 0.641},synonym_antonym
1747,depth,0,-0.45,{'deep': 1.313},{'deep': 0.64},antonym
1748,followed,0,-0.427,"{'ride': 1.83, 'go': 0.185, 'fall': 0.141, 'right': 0.538}","{'ride': 0.982, 'advance': 0.454, 'fall': 0.319, 'follow': 0.39, 'right': 0.219, 'rush': 1.001}",synonym_antonym
1749,thing,0,-0.093,{'important': 0.831},{'important': 1.461},antonym
1750,confused,1,-1.271,{'fresh': 1.062},{'fresh': 0.436},antonym
1751,joke,0,-0.535,"{'ordinary': 0.806, 'familiar': 0.298, 'well': 0.953, 'cry': 1.41, 'begin': 0.305, 'order': 0.546, 'pull': 0.203}","{'ordinary': 0.806, 'well': 0.646, 'cry': 0.353, 'begin': 0.751, 'order': 0.377}",synonym_antonym
1752,watch,0,0.038,"{'worry': 0.829, 'lose': 0.656}","{'open': -0.062, 'respect': -0.598, 'man': -0.3}",synonym_antonym
1753,sentences,0,-0.584,"{'end': 0.688, 'state': 0.353}",{'answer': 0.183},antonym
1754,affair,0,0.414,"{'important': 0.831, 'most': 0.055}",{'most': -0.465},synonym_antonym
1755,odd,0,-0.243,{'usual': 1.029},{'usual': 0.292},antonym
1756,paper,0,0.123,{'cool': 0.793},"{'material': -0.749, 'remember': -0.03}",synonym_antonym
1757,third,0,0.179,{'some': 0.411},{'all': -0.003},synonym_antonym
1758,mc,0,-0.685,{'fast': 0.584},{'fast': 0.227},synonym_antonym
1759,movies,0,-0.431,"{'pull': 0.203, 'color': 0.013, 'recall': 0.338, 'day': 0.404, 'continue': 0.237, 'stay': 0.14, 'loud': 0.91, 'inside': 0.257}","{'dislike': 0.235, 'color': 0.013, 'recall': 0.338, 'day': 0.464, 'comedy': 0.182, 'stay': 0.399, 'loud': 0.815, 'fire': 0.042, 'inside': 0.245, 'moving': 0.39}",synonym_antonym
1760,summary,0,-0.337,{'truth': 0.408},{'truth': 1.129},antonym
1761,skimming,0,-0.479,{},{'contamination': 0.0},oov_antonym
1762,thin,0,-0.416,{'wide': 0.668},{'wide': 0.668},antonym
1763,web,0,-0.687,{'truth': 0.408},{'truth': 1.129},antonym
1764,gave,0,-0.742,"{'lose': 0.656, 'take': 0.54, 'survive': 0.639}","{'lose': 0.122, 'take': 0.241, 'survive': 0.418}",synonym_antonym
1765,imagination,0,-0.015,"{'creative': 0.568, 'plain': 0.115, 'fall': 0.141}","{'creative': 0.068, 'dislike': 0.235, 'fall': 0.319, 'awake': 0.21}",synonym_antonym
1766,energy,0,-0.371,{'alive': 0.573},"{'alive': 0.362, 'dead': 0.511}",antonym
1767,tired,1,-1.066,{'live': 0.314},{'live': 0.759},antonym
1768,suppose,0,0.537,{'forget': 0.772},{'forget': -1.009},synonym_antonym
1769,unfinished,0,-0.165,{},{'painted': 0.0},oov_antonym
1770,none,0,-0.606,{},{'disservice': 0.0},oov_antonym
1771,pick,0,-0.044,{'recall': 0.338},{'recall': 0.338},synonym_antonym
1772,soul,0,0.21,"{'stay': 0.14, 'aware': 0.882}","{'real': -0.211, 'aware': -0.091, 'strange': -1.284}",synonym_antonym
1773,specific,0,-0.593,"{'normal': 0.614, 'familiar': 0.298, 'well': 0.953, 'ordinary': 0.806, 'wide': 0.668, 'secondary': 0.16, 'wrong': 1.271}","{'normal': 0.457, 'well': 0.646, 'ordinary': 0.806, 'wide': 0.668, 'secondary': 0.16, 'wrong': 0.641}",synonym_antonym
1774,tells,0,0.328,{'background': 0.392},"{'background': -0.625, 'hold': -0.39, 'pack': -0.013}",antonym
1775,protagonist,0,-0.713,"{'afraid': 0.004, 'right': 0.538, 'natural': 0.58}","{'right': 0.219, 'minor': 0.249}",synonym_antonym
1776,half,0,-1.436,{'inside': 0.257},"{'inside': 0.245, 'outside': 0.108}",antonym
1777,news,0,-0.099,"{'loss': 0.368, 'truth': 0.408}","{'gain': 0.108, 'truth': 1.129}",synonym_antonym
1778,ordering,0,-0.718,{'lose': 0.656},{'lose': 0.122},synonym_antonym
1779,sunday,0,-0.718,"{'day': 0.404, 'dark': 0.652, 'light': 0.22}","{'day': 0.464, 'light': 0.337}",synonym_antonym
1780,gay,0,-1.3,{'depressing': 0.022},{'depressing': 0.0},oov_antonym
1781,entirely,0,-0.148,{'some': 0.411},{'some': 0.077},antonym
1782,patient,0,-0.729,"{'lucky': 0.328, 'successful': 0.392, 'white': 0.006, 'break': 0.189}","{'black': 0.023, 'healthy': 1.074}",synonym_antonym
1783,falls,0,-1.173,{},{'soft water': 0.0},oov_antonym
1784,beliefs,0,-0.733,"{'keep': 0.146, 'impossible': 0.081, 'possible': 0.161}","{'keep': 0.39, 'possible': 0.064}",synonym_antonym
1785,supposed,0,-0.692,{'close': 0.595},"{'likely': 0.768, 'close': 1.103, 'near': 0.104}",synonym_antonym
1786,misspelled,0,-1.005,{},{'unspell': 0.0},oov_antonym
1787,similar,0,0.43,{'different': 0.813},"{'other': -0.173, 'difference': -0.063, 'absolute': -0.098}",synonym_antonym
1788,bam,0,-1.038,"{'miss': 0.604, 'open': 0.645}",{'miss': 0.409},antonym
1789,hanging,0,-0.225,{'take': 0.54},{'take': 0.241},antonym
1790,realized,0,0.177,{'begin': 0.305},{'incomplete': -1.489},antonym
1791,track,0,-0.775,"{'come': 0.05, 'clean': 1.006}","{'fire': 0.042, 'clean': 0.426, 'rush': 1.001, 'sell': 0.128}",synonym_antonym
1792,execution,0,0.149,"{'add': 0.725, 'begin': 0.305, 'dark': 0.652, 'take': 0.54}",{'dark': -0.465},synonym_antonym
1793,dialog,0,-0.236,"{'open': 0.645, 'begin': 0.305, 'continue': 0.237}",{'begin': 0.751},synonym_antonym
1794,outline,0,-0.499,{'shared': 0.736},{'shared': 0.736},synonym_antonym
1795,push,0,-0.752,"{'pull': 0.203, 'cool': 0.793}","{'attract': 0.014, 'cool': 1.151}",antonym
1796,offered,0,0.17,"{'work': 0.072, 'take': 0.54, 'go': 0.185, 'fall': 0.141}","{'work': -0.071, 'go': -0.151}",synonym_antonym
1797,disjointed,1,-0.061,"{'fresh': 1.062, 'related': 0.928, 'stay': 0.14, 'important': 0.831}","{'fresh': 0.436, 'related': 0.928, 'stay': 0.399, 'organized': 0.653, 'important': 1.461, 'wise': 0.353}",synonym_antonym
1798,pat,0,-0.757,"{'pleased': 1.154, 'implausible': 0.287, 'pull': 0.203}","{'pleased': 1.014, 'back': 0.204}",synonym_antonym
1799,missing,0,-1.019,{},{'found': 0.0},oov_antonym
1800,freebie,0,-0.512,{},{'disinherit': 0.0},oov_antonym
1801,knowledge,0,0.105,{'ability': 0.079},"{'respect': -0.598, 'beginning': -0.085, 'aware': -0.091, 'unable': -0.809, 'level': -0.225, 'female': -1.742, 'ending': -0.219}",synonym_antonym
1802,mediocre,1,-0.763,"{'dominant': 0.928, 'good': 0.861}","{'dominant': 0.215, 'good': 1.216}",synonym_antonym
1803,published,0,0.144,{},{'suppressed': 0.0},oov_antonym
1804,here,0,0.424,{},{'there': 0.0},oov_antonym
1805,something,0,-0.861,{'mature': 0.071},{'mature': 0.17},antonym
1806,unlikely,0,-0.768,{'close': 0.595},"{'likely': 0.768, 'close': 1.103, 'near': 0.104}",antonym
1807,impressed,1,-0.369,{},{'unaffected': 0.0},oov_antonym
1808,finishing,0,-0.468,"{'open': 0.645, 'far': 0.039, 'begin': 0.305}",{'begin': 0.751},antonym
1809,obviously,0,-0.333,{'complex': 0.234},{'complex': 0.208},antonym
1810,star,0,-0.296,"{'dark': 0.652, 'light': 0.22, 'little': 0.584, 'small': 0.184, 'male': 0.109}","{'minor': 0.249, 'light': 0.337}",synonym_antonym
1811,lack,1,-0.328,"{'ability': 0.079, 'stay': 0.14}","{'ability': 0.153, 'include': 0.228, 'stay': 0.399, 'sell': 0.128, 'comedy': 0.182}",synonym_antonym
1812,tried,0,-0.791,{},{'undependable': 0.0},oov_antonym
1813,lessons,0,0.213,{'ready': 1.14},"{'buy': -0.115, 'resolution': -0.317}",synonym_antonym
1814,20,0,-0.691,{'some': 0.411},{'some': 0.077},synonym_antonym
1815,honestly,0,-1.003,{},{'venally': 0.0},oov_antonym
1816,teenage,0,-0.052,"{'old': 0.154, 'mature': 0.071}",{'mature': 0.17},antonym
1817,crap,1,-0.844,{'lose': 0.656},{'lose': 0.122},antonym
1818,skills,0,-0.101,{'powerful': 0.918},{'powerful': 0.11},antonym
1819,accurate,0,0.19,{'wrong': 1.271},"{'false': -0.174, 'better': -0.291, 'general': -0.117}",synonym_antonym
1820,strange,0,-1.284,"{'familiar': 0.298, 'well': 0.953, 'ordinary': 0.806}","{'well': 0.646, 'ordinary': 0.806}",antonym
1821,neither,0,0.29,{},"{'complete': -0.177, 'whole': -0.162}",antonym
1822,leading,0,0.055,{'down': 1.414},"{'stupidity': -1.093, 'lack': -0.328}",synonym_antonym
1823,mistake,1,-1.528,"{'end': 0.688, 'take': 0.54, 'fall': 0.141, 'begin': 0.305, 'order': 0.546, 'mind': 0.088, 'issue': 0.358, 'stay': 0.14, 'clean': 1.006, 'decent': 0.471, 'fair': 0.201, 'nice': 0.856, 'ability': 0.079}","{'end': 0.821, 'take': 0.241, 'fall': 0.319, 'begin': 0.751, 'order': 0.377, 'issue': 0.831, 'stay': 0.399, 'clean': 0.426, 'decent': 0.322, 'nice': 1.156, 'ability': 0.153}",synonym_antonym
1824,dull,1,-1.066,"{'lively': 0.361, 'colorful': 0.538}",{'lively': 0.361},antonym
1825,opinion,0,-0.814,"{'keep': 0.146, 'open': 0.645, 'begin': 0.305, 'continue': 0.237, 'aware': 0.882}","{'keep': 0.39, 'begin': 0.751, 'awake': 0.21}",synonym_antonym
1826,sight,0,-0.797,{},{'clergy': 0.0},oov_antonym
1827,aside,0,-0.387,{'right': 0.538},{'right': 0.219},synonym_antonym
1828,childish,1,-0.745,"{'mature': 0.071, 'old': 0.154}",{'mature': 0.17},antonym
1829,disgusting,1,-1.15,"{'fair': 0.201, 'open': 0.645, 'right': 0.538, 'good': 0.861, 'clean': 1.006}","{'right': 0.219, 'good': 1.216, 'wholesome': 0.292, 'clean': 0.426}",synonym_antonym
1830,google,0,-0.699,{'lose': 0.656},"{'lose': 0.122, 'answer': 0.183}",synonym_antonym
1831,standards,0,0.007,{'unusual': 0.548},"{'soft': -0.189, 'beginning': -0.085, 'middle': -0.304, 'standard': -0.799, 'generous': -0.599}",synonym_antonym
1832,war,0,-0.19,"{'keep': 0.146, 'pull': 0.203}","{'peace': 0.063, 'keep': 0.39, 'relax': 0.58}",synonym_antonym
1833,elements,0,0.181,"{'depressing': 0.022, 'success': 0.008}",{'depressing': -0.253},synonym_antonym
1834,sex,0,-0.211,"{'male': 0.109, 'absolute': 0.446, 'pain': 0.204, 'end': 0.688}","{'dislike': 0.235, 'end': 0.821, 'death': 0.516}",synonym_antonym
1835,purchase,0,0.03,"{'recall': 0.338, 'take': 0.54, 'lose': 0.656, 'charge': 0.822}","{'pack': -0.013, 'type': -0.391, 'minimum': -0.36, 'charge': -0.497, 'beginning': -0.085, 'middle': -0.304}",synonym_antonym
1836,sense,0,-1.053,{'stay': 0.14},"{'rush': 1.001, 'stay': 0.399}",synonym_antonym
1837,later,0,0.644,"{'present': 0.435, 'alive': 0.573}",{'middle': -0.304},antonym
1838,rating,0,-0.393,{'intense': 1.272},{'intense': 1.087},antonym
1839,trite,1,-0.572,"{'new': 0.379, 'creative': 0.568}","{'new': 0.361, 'creative': 0.068}",antonym
1840,phone,0,0.065,{'broken': 0.362},{'broken': -0.032},antonym
1841,rough,0,-0.247,{'smooth': 0.919},"{'regular': 0.05, 'smooth': 0.862}",antonym
1842,patterns,0,-0.375,"{'safety': 0.709, 'hope': 0.878, 'take': 0.54}","{'safety': 0.709, 'figure': 0.123, 'hope': 0.782, 'dislike': 0.235, 'take': 0.241}",synonym_antonym
1843,downloading,0,-0.457,{},{'upload': 0.0},oov_antonym
1844,avid,0,0.258,{'young': 0.431},{'young': -0.595},synonym_antonym
1845,concept,0,-0.979,"{'end': 0.688, 'ending': 0.24, 'loss': 0.368, 'miss': 0.604, 'best': 0.379, 'child': 0.524, 'stay': 0.14, 'late': 1.145, 'present': 0.435}","{'end': 0.821, 'figure': 0.123, 'gain': 0.108, 'miss': 0.409, 'best': 0.525, 'fire': 0.042, 'child': 0.279, 'outside': 0.108, 'stay': 0.399, 'particular': 0.194, 'late': 1.256, 'present': 0.553}",synonym_antonym
1846,spent,0,-0.342,{'new': 0.379},{'new': 0.361},antonym
1847,bring,0,-0.392,{'go': 0.185},"{'recall': 0.338, 'opening': 0.418, 'rush': 1.001, 'lose': 0.122, 'sell': 0.128, 'right': 0.219, 'order': 0.377, 'take': 0.241, 'clear': 0.019}",synonym_antonym
1848,cheesy,1,-0.904,"{'work': 0.072, 'best': 0.379, 'dominant': 0.928, 'good': 0.861, 'right': 0.538, 'important': 0.831, 'miss': 0.604, 'up': 0.112}",{'expensive': 0.349},antonym
1849,grade,0,-0.541,{'close': 0.595},{'close': 1.103},antonym
1850,immature,1,-0.475,{'mature': 0.071},{'mature': 0.17},antonym
1851,unhappy,1,-0.848,"{'glad': 0.942, 'happy': 0.301}","{'glad': 0.336, 'happy': 0.368}",antonym
1852,then,0,-0.929,{'end': 0.688},{'end': 0.821},antonym
1853,meets,0,0.291,{'begin': 0.305},"{'man': -0.3, 'father': -0.872}",synonym_antonym
1854,menage,0,-0.855,{'child': 0.524},{'child': 0.279},antonym
1855,difficult,1,-0.478,{'easy': 1.055},{'easy': 0.709},antonym
1856,ex,0,-0.283,"{'woman': 0.561, 'white': 0.006}",{'woman': 0.0},oov_antonym
1857,comment,0,0.283,{'open': 0.645},{'open': -0.062},antonym
1858,someone,0,-0.873,{'male': 0.109},"{'winner': 0.94, 'friend': 0.423, 'agree': 0.305, 'black': 0.023, 'native': 0.626, 'back': 0.204, 'last': 0.244, 'good': 1.216, 'stay': 0.399, 'follow': 0.39, 'complex': 0.208, 'light': 0.337, 'take': 0.241, 'fat': 0.028, 'show': 0.286, 'survive': 0.418, 'wife': 0.518, 'husband': 0.406, 'living': 0.703, 'healthy': 1.074, 'easy': 0.709, 'son': 0.493, 'brother': 0.371, 'ride': 0.982, 'safe': 0.879, 'attract': 0.014, 'miss': 0.409, 'boy': 0.369, 'willing': 0.362, 'different': 0.271, 'lose': 0.122, 'side': 0.187, 'add': 0.412, 'wise': 0.353, 'alive': 0.362, 'present': 0.553, 'future': 0.154, 'pleasant': 0.233, 'end': 0.821, 'death': 0.516, 'lively': 0.361, 'cool': 1.151, 'rich': 0.017, 'dead': 0.511, 'late': 1.256, 'important': 1.461, 'wrong': 0.641, 'keep': 0.39, 'relax': 0.58, 'front': 0.219}",synonym_antonym
1859,30,0,-0.712,{'some': 0.411},{'some': 0.077},synonym_antonym
1860,direction,0,0.525,"{'advantage': 0.192, 'ride': 1.83, 'heat': 0.663, 'pull': 0.203}","{'tense': -0.848, 'pull': -0.049, 'thin': -0.416}",synonym_antonym
1861,may,0,-0.698,{},{'conventional': 0.0},oov_antonym
1862,slowly,0,0.074,{'quickly': 0.275},{'early': -0.104},antonym
1863,speak,0,0.611,"{'take': 0.54, 'recall': 0.338, 'laugh': 1.144, 'top': 0.957, 'ride': 1.83, 'open': 0.645, 'white': 0.006, 'natural': 0.58, 'charge': 0.822, 'keep': 0.146, 'continue': 0.237, 'clean': 1.006, 'advantage': 0.192, 'lose': 0.656, 'pull': 0.203, 'stay': 0.14, 'plain': 0.115, 'cry': 1.41, 'front': 0.219, 'go': 0.185, 'broken': 0.362, 'end': 0.688}","{'incomplete': -1.489, 'open': -0.062, 'white': -0.2, 'natural': -0.072, 'charge': -0.497, 'pack': -0.013, 'continue': -0.105, 'lack': -0.328, 'hold': -0.39, 'slow': -1.023, 'pull': -0.049, 'finish': -0.786, 'high': -0.298, 'plain': -0.167, 'left': -0.593, 'go': -0.151, 'broken': -0.032}",synonym_antonym
1864,holes,0,-0.871,"{'simple': 0.394, 'close': 0.595, 'survive': 0.639}","{'cover': 0.063, 'close': 1.103, 'survive': 0.418}",synonym_antonym
1865,handsome,0,-0.873,"{'little': 0.584, 'small': 0.184}",{'ugly': 0.0},oov_antonym
1866,errors,1,-0.909,"{'end': 0.688, 'take': 0.54, 'fall': 0.141, 'begin': 0.305, 'order': 0.546, 'mind': 0.088, 'issue': 0.358, 'stay': 0.14, 'clean': 1.006, 'decent': 0.471, 'fair': 0.201, 'nice': 0.856, 'ability': 0.079}","{'end': 0.821, 'take': 0.241, 'fall': 0.319, 'begin': 0.751, 'order': 0.377, 'issue': 0.831, 'stay': 0.399, 'clean': 0.426, 'decent': 0.322, 'nice': 1.156, 'ability': 0.153}",synonym_antonym
1867,forced,0,0.176,"{'normal': 0.614, 'natural': 0.58}",{'natural': -0.072},antonym
1868,skipped,0,-0.512,"{'mind': 0.088, 'win': 1.138, 'stay': 0.14, 'attention': 0.148}","{'win': 0.906, 'stay': 0.399, 'include': 0.228, 'attention': 0.346}",synonym_antonym
1869,gross,0,-1.032,{},{'net': 0.0},oov_antonym
1870,said,0,0.027,{'difference': 0.023},"{'other': -0.173, 'difference': -0.063}",antonym
1871,flowing,0,-0.306,{'go': 0.185},"{'include': 0.228, 'ride': 0.982, 'advance': 0.454, 'fall': 0.319, 'follow': 0.39, 'addition': 0.517, 'stay': 0.399, 'running': 0.527, 'head': 0.744, 'recall': 0.338, 'concise': 0.32, 'back': 0.204, 'unnecessary': 0.431}",synonym_antonym
1872,intelligent,1,-0.89,{'unknown': 0.464},"{'unknown': 0.464, 'dead': 0.511}",synonym_antonym
1873,internet,0,-0.15,{'end': 0.688},{'end': 0.821},synonym_antonym
1874,left,0,-0.593,{'right': 0.538},{'right': 0.219},antonym
1875,fallen,0,0.062,{'up': 0.112},{'up': 0.0},oov_antonym
1876,heroine,0,0.602,"{'light': 0.22, 'clear': 0.375, 'top': 0.957, 'side': 0.904, 'miss': 0.604, 'best': 0.379}","{'standard': -0.799, 'shallow': -0.863, 'thin': -0.416}",synonym_antonym
1877,christian,0,-0.322,{'male': 0.109},{'nonreligious person': 0.0},oov_antonym
1878,stilted,1,-0.771,"{'natural': 0.58, 'cool': 0.793, 'normal': 0.614}","{'cool': 1.151, 'normal': 0.457}",synonym_antonym
1879,redeeming,0,-0.263,{},{'bad': 0.0},oov_antonym
1880,became,0,-0.761,"{'lose': 0.656, 'begin': 0.305, 'sweet': 1.319, 'stay': 0.14, 'recall': 0.338, 'ride': 1.83, 'go': 0.185, 'fall': 0.141, 'win': 1.138}","{'lose': 0.122, 'sell': 0.128, 'begin': 0.751, 'sweet': 1.102, 'stay': 0.399, 'recall': 0.338, 'concise': 0.32, 'ride': 0.982, 'advance': 0.454, 'fall': 0.319, 'follow': 0.39, 'win': 0.906, 'location': 0.261, 'fire': 0.042}",synonym_antonym
1881,told,0,0.259,{'background': 0.392},"{'background': -0.625, 'hold': -0.39, 'pack': -0.013}",antonym
1882,items,0,0.497,"{'dominant': 0.928, 'close': 0.595, 'end': 0.688, 'miss': 0.604, 'best': 0.379, 'right': 0.538, 'front': 0.219, 'break': 0.189}","{'basic': -0.796, 'level': -0.225, 'beginning': -0.085, 'middle': -0.304, 'left': -0.593, 'connect': -0.406, 'break': -0.172}",synonym_antonym
1883,magazine,0,-0.269,"{'add': 0.725, 'inside': 0.257}","{'add': 0.412, 'inside': 0.245}",synonym_antonym
1884,leaves,0,-0.82,{'stay': 0.14},{'stay': 0.399},antonym
1885,punctuation,0,-0.735,{'end': 0.688},{'end': 0.821},antonym
1886,guess,0,-0.694,{'enjoy': 0.17},{'enjoy': 0.391},synonym_antonym
1887,attempt,0,-0.352,"{'best': 0.379, 'survive': 0.639}","{'best': 0.525, 'survive': 0.418}",antonym
1888,worse,1,-0.785,{'best': 0.379},{'best': 0.525},antonym
1889,don,0,-1.02,"{'begin': 0.305, 'stop': 1.569, 'charge': 0.822}","{'begin': 0.751, 'stop': 0.613}",synonym_antonym
1890,mess,1,-0.61,{'order': 0.546},{'order': 0.377},antonym
1891,met,0,-0.933,{'cool': 0.793},{'cool': 1.151},synonym_antonym
1892,attraction,0,-0.064,{'ability': 0.079},{'ability': 0.153},antonym
